Year,RealBuildingCost,Population,LongRate,RealHomePriceIndex
1983-12-31,91.52830101709854,234.333,10.46,107
1984-12-31,89.06159549105747,236.394,11.67,108
1985-12-31,86.30725178409052,238.506,11.38,110
1986-12-31,85.06563925795437,240.683,9.19,118
1987-12-31,85.8001174651263,242.843,7.08,124
1988-12-31,84.31285437542735,245.061,8.67,128
1989-12-31,81.66945023376972,247.387,9.09,129
1990-12-31,79.63498843103021,250.181,8.21,125
1991-12-31,76.74207453599819,253.53,8.09,118
1992-12-31,77.05381962620804,256.922,7.03,115
1993-12-31,78.88788053790942,260.282,6.6,114
1994-12-31,79.89887108940512,263.455,5.75,114
1995-12-31,77.74430980443364,266.588,7.78,113
1996-12-31,77.89285948266286,269.714,5.65,112
1997-12-31,79.39146428733092,272.958,6.58,113
1998-12-31,78.79060548990577,276.154,5.54,117
1999-12-31,78.98128130837776,279.328,4.72,123
2000-12-31,78.72200104739596,282.398,6.66,129
2001-12-31,76.6401606998153,285.225,5.16,136
2002-12-31,76.81353949728835,287.955,5.04,144
2003-12-31,76.31543515929664,290.626,4.05,155
2004-12-31,80.77302578850316,293.262,4.15,169
2005-12-31,82.7948477196798,295.993,4.22,187
2006-12-31,82.72701137236604,298.818,4.42,194
2007-12-31,83.19660676053614,301.696,4.76,185
2008-12-31,83.44615919614644,304.543,3.74,162
2009-12-31,84.80835495034087,307.24,2.52,147
2010-12-31,84.61393100421171,309.807,3.73,141
2011-12-31,86.23908799805521,312.169,3.39,132
2012-12-31,85.70969790261492,314.49,1.97,130
2013-12-31,86.05996591094542,316.796,1.91,141
2014-12-31,86.47191,319.233,2.86,148
2015-12-31,88.5254,321.704,1.88,154
